Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
CHADESS Liqueur d'Orange 0.7-L-Flasche (40% Vol.),Getränke,Liköre/Cognac,9.99,2025-06-16,2025-06-21,Aldi
COUPERNÉ Calvados V.S.O.P. 0.7-L-Flasche (40% Vol.),Getränke,Spirituosen,8.99,2025-06-16,2025-06-21,Aldi
DÉJÀ-VU Aperitif 0.7-L-Flasche inkl. 2 Dosen zzgl. Pfand (17% Vol.),Getränke,Aperitifs,8.99,2025-06-16,2025-06-21,Aldi
Rispen-tomaten 650-g-Schale,Frische Lebensmittel,Gemüse,1.11,2025-06-19,2025-06-21,Aldi
FASHION Wassermelone (Lose Ware Sorte Fashion),Frische Lebensmittel,Obst,1.19,2025-06-19,2025-06-21,Aldi
Avocados 500-g-Netz,Frische Lebensmittel,Obst,1.39,2025-06-19,2025-06-21,Aldi
Kopfsalat mit Wurzelballen,Frische Lebensmittel,Salat/Gemüse,1.11,2025-06-19,2025-06-21,Aldi
GARDENLINE Lavendel 3er-Tray,Garten & Pflanzen,Zierpflanzen,2.49,2025-06-19,2025-06-21,Aldi
GARDENLINE Phalaenopsis im 12-cm-Kulturtopf (2 Rispen),Garten & Pflanzen,Zimmerpflanzen,6.99,2025-06-19,2025-06-21,Aldi
GARDENLINE Staude/Sommerblume im 13-cm-Kulturtopf,Garten & Pflanzen,Stauden/Gartenpflanzen,1.49,2025-06-19,2025-06-21,Aldi
GARDENLINE Asiatische Pflanze im 19- bzw. 23-cm-Kulturtopf,Garten & Pflanzen,Gartenpflanzen,12.99,2025-06-19,2025-06-21,Aldi
Ochsenbäckchen in Rotweinsauce flüssig gewürzt 420-g-Packung,Fleisch,Rindfleisch,5.99,2025-06-19,2025-06-21,Aldi
Hähnchen-Kebab aus der Keule vorgegart zum Braten 250-g-Packung,Fleisch,Geflügel,2.99,2025-06-19,2025-06-21,Aldi
Fackelbrot gefüllte Weizentortillas für Ofen oder Grill 230-g-Packung,Backwaren,Brot,2.79,2025-06-19,2025-06-21,Aldi
Hähnchen-Oberkeulen frisch gewürzt mit Kräuterbutter in Ofenschale 550-g-Packung,Fleisch,Geflügel,2.49,2025-06-19,2025-06-21,Aldi
Lammfilet aus Neuseeland in Kräutermarinade zum Braten oder Grillen 300-g Beispiel,Fleisch,Lamm,8.39,2025-06-19,2025-06-21,Aldi
Grill-Lachs XXL frisch mariniert mit Paprika 375-g-Packung,Fisch,Lachs,6.99,2025-06-19,2025-06-21,Aldi
Pekannuss-Tasche gefüllter Plunderteig dekoriert mit Pekannüssen Stück,Lebensmittel,Backwaren,0.79,2025-06-19,2025-06-21,Aldi
Laugen-Croguette herzhaft gelaugter Buttercroissantteig frisch gebacken Stück,Lebensmittel,Backwaren,0.89,2025-06-19,2025-06-21,Aldi
FLYING POWER Energydrink koffein- und taurinhaltig zzgl. Pfand 4x0.25-L-Dose,Getränke,Energydrinks,1.15,2025-06-19,2025-06-21,Aldi
GOLDÄHREN Toastbrötchen je 6 Stück 335-g-Packung,Backwaren,Brötchen,0.99,2025-06-19,2025-06-21,Aldi
HOFBURGER Schnittkäse 250-g-Packung,Lebensmittel,Käse,1.95,2025-06-19,2025-06-21,Aldi
SPEISEZEIT Bohnen-Linseneintopf mit Schweinefleisch 800-g-Dose,Lebensmittel,Fertiggerichte,1.89,2025-06-19,2025-06-21,Aldi
GUT DREI EICHEN Schwarzwälder Schinken 200-g-Packung,Fleisch,Schinken,2.49,2025-06-19,2025-06-21,Aldi
LYTTOS Hirtenkäse 250-g-Packung,Lebensmittel,Käse,1.89,2025-06-19,2025-06-21,Aldi
KINGS CROWN Gurkenfässchen mit Dill 360-g ATG 720-ml-Glas,Lebensmittel,Feinkost,1.19,2025-06-19,2025-06-21,Aldi
MILSANI Quark-Creme mit Schokoraspeln 200-g-Becher,Lebensmittel,Milchprodukte,0.85,2025-06-19,2025-06-21,Aldi
BISCOTTO Schoko-und-Keks-Sticks Gebäckstäbchen mit Schokolade 90-g-Packung,Lebensmittel,Snacks,1.19,2025-06-19,2025-06-21,Aldi
SUN SNACKS Stapelchips 175-g-Dose,Lebensmittel,Snacks,1.49,2025-06-19,2025-06-21,Aldi
MÜLLER Fruchtbuttermilch zzgl. Pfand 500-g-Flasche,Lebensmittel,Milchprodukte,0.79,2025-06-19,2025-06-21,Aldi
WEIHENSTEPHAN Mascarpone-Rahmjoghurt 150-g-Becher,Lebensmittel,Milchprodukte,0.49,2025-06-19,2025-06-21,Aldi
KERRYGOLD Reibekäse 150-g-Beutel,Lebensmittel,Käse,1.49,2025-06-19,2025-06-21,Aldi
FOL EPI Käsescheiben 235g oder 270g Packung,Lebensmittel,Käse,2.99,2025-06-19,2025-06-21,Aldi
MEINE METZGEREI Butter- und Spargelschinken 100-g-Packung,Fleisch,Aufschnitt,1.49,2025-06-19,2025-06-21,Aldi
RÜGENWALDER Pommersche Leberwurst 250-g-Packung,Fleisch,Wurst,1.99,2025-06-19,2025-06-21,Aldi
POPP Brotaufstrich 250-g-Becher,Lebensmittel,Aufstrich,1.79,2025-06-19,2025-06-21,Aldi
WONNEMEYER Frischer Blätterteig backfertig 275-g-Packung,Backwaren,Blätterteig,0.79,2025-06-19,2025-06-21,Aldi
GAZI Grill- und Pfannenkäse 2x100-g-Packung,Lebensmittel,Käse,1.99,2025-06-19,2025-06-21,Aldi
YOUCOOK Fertiggericht 420g oder 430g Packung,Fertiggerichte,Fertiggericht,3.49,2025-06-19,2025-06-21,Aldi
TRADER JOE'S Kalifornische Pistazien 250-g-Packung,Lebensmittel,Nüsse,2.79,2025-06-19,2025-06-21,Aldi
NEU! GOLDEN SEAFOOD Pazifische Schollenfilets paniert 250-g-Packung,Fisch,Fischfilets,2.79,2025-06-19,2025-06-21,Aldi
NEU! DR. OETKER La Mia Grande/La Mia Familia 360g bis 480g Packung,Lebensmittel,Tiefkühlpizzen,3.49,2025-06-19,2025-06-21,Aldi
NEU! LANDBECK Mettwurst-Snack 80-g-Packung,Fleisch,Wurst,1.69,2025-06-19,2025-06-21,Aldi
MILSANI Kochsahne ultrahocherhitzt 200-g-Packung,Lebensmittel,Milchprodukte,0.79,2025-06-19,2025-06-21,Aldi
RAMA Original 100% pflanzlich 400-g-Packung,Lebensmittel,Margarine,1.29,2025-06-19,2025-06-21,Aldi
HEINZ Feinkost-sauce 220-ml-Flasche,Lebensmittel,Saucen,1.39,2025-06-19,2025-06-21,Aldi
BONDUELLE Goldmais ATG 3x285g 3x425-ml-Dose,Lebensmittel,Gemüsekonserven,2.99,2025-06-19,2025-06-21,Aldi
KING'S CROWN Gurkensalat 360-g ATG 720-ml-Glas,Lebensmittel,Salate,1.29,2025-06-19,2025-06-21,Aldi
HAWESTA Bratheringe in Marinade MSC-zertifiziert 500-g-Dose,Fisch,Fischkonserven,2.29,2025-06-19,2025-06-21,Aldi
BERTOLLI Olivenöl 500-ml-Flasche,Lebensmittel,Speiseöle,5.99,2025-06-19,2025-06-21,Aldi
KNORR Pasta-Snack-Pot herzhafter Snack verschiedene Gewichte Becher,Lebensmittel,Snacks,0.99,2025-06-19,2025-06-21,Aldi
SCHWEPPES Bittergetränk 1 25-L-Flasche zzgl. Pfand,Getränke,Bittergetränke,1.49,2025-06-19,2025-06-21,Aldi
HOHES C Fruchtsaft 1-L-Flasche zzgl. Pfand,Getränke,Säfte,1.49,2025-06-19,2025-06-21,Aldi
MARS Celebrations Pralinenmischung 186-g-Packung,Lebensmittel,Süßwaren,2.99,2025-06-19,2025-06-21,Aldi
ROTKÄPPCHEN Sekt Alkoholfrei 0 75-L-Flasche,Getränke,Sekt,3.29,2025-06-19,2025-06-21,Aldi
GREEN BRIDGE Chardonnay California 0 75-L-Flasche,Getränke,Wein,2.79,2025-06-19,2025-06-21,Aldi
MARABOU Doppelrolle Schokolade 134g oder 148g Packung,Lebensmittel,Süßwaren,2.99,2025-06-19,2025-06-21,Aldi
VELTINS Helles Pülleken 6x0 33-L-Dose 6 Dosen zzgl. Pfand,Getränke,Bier,3.99,2025-06-19,2025-06-21,Aldi
9 MILE Vodka 0 7-L-Flasche mit LED im Flaschenboden,Getränke,Spirituosen,9.99,2025-06-19,2025-06-21,Aldi
Enders Gasgrill Boston Pro 4 KR Turbo II 3 Jahre Garantie TURBO ZONE SWITCH GRID Stück,Grills,Gasgrills,299.00,2025-06-19,2025-06-21,Aldi
MILSANI Kaffeeweißer 250-g-Glas,Lebensmittel,Kaffeeweißer,1.19,2025-06-21,2025-06-21,Aldi
KNORR Schlemmersauce 250-ml-Flasche,Lebensmittel,Saucen,0.79,2025-06-21,2025-06-21,Aldi
LORENZ Crunchips 150-g-Beutel,Lebensmittel,Snacks,0.95,2025-06-21,2025-06-21,Aldi
DANONE Actimel XXL 12x100-g-Packung,Lebensmittel,Joghurt-Drink,2.99,2025-06-21,2025-06-21,Aldi
WONNEMEYER Antipasti-Teller 210-g-Packung,Lebensmittel,Antipasti,2.49,2025-06-21,2025-06-21,Aldi
HACKER PSCHORR Münchner Hell Kellerbier 0 5-L-Dose zzgl. Pfand,Getränke,Bier,0.69,2025-06-21,2025-06-21,Aldi
Delverde Classica Ital. Teigwaren (versch. Ausformungen 500g Beutel),Lebensmittel,Pasta,0.88,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Speisequark (40% Fett i. Tr. 250g Becher),Lebensmittel,Milchprodukte/Käse,0.89,2025-06-16,2025-06-21,Edeka
Bauern Gut Schweinenacken/-kamm (mit Knochen 1kg),Lebensmittel,Fleisch,6.66,2025-06-16,2025-06-21,Edeka
Rotkäppchen Sekt oder Fruchtsecco (versch. Sorten 0.75l Flasche),Getränke,Sekt/Prosecco,3.29,2025-06-16,2025-06-21,Edeka
Frosta Fertiggerichte (versch. Sorten 450/500g Beutel),Lebensmittel,Tiefkühlkost/Fertiggerichte,2.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Salatgurken (Kl. I Stück),Lebensmittel,Gemüse,0.59,2025-06-16,2025-06-21,Edeka
Melitta Filterkaffee (gemahlener Röstkaffee versch. Sorten 500g Packung),Lebensmittel,Kaffee/Tee,6.99,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Mango oder Avocado Hass (Kl. I Stück),Lebensmittel,Obst,0.88,2025-06-16,2025-06-21,Edeka
Italien Tafeläpfel Pink Lady (Sorte: Cripps Pink Kl. I 1kg),Lebensmittel,Obst,2.49,2025-06-16,2025-06-21,Edeka
Spanien/Italien Wassermelonen (rotfleischig kernarm Kl. I 1kg),Lebensmittel,Obst,0.99,2025-06-16,2025-06-21,Edeka
Costa Rica Ananas Extra sweet (Kl. I Stück),Lebensmittel,Obst,2.99,2025-06-16,2025-06-21,Edeka
Spanien EDEKA Bio Plattpfirsiche (weißfleischig Kl. II 500g Schale),Lebensmittel,Obst,2.99,2025-06-16,2025-06-21,Edeka
Spanien GUT&GÜNSTIG Kirschen (Kl. I 500g Packung),Lebensmittel,Obst,2.69,2025-06-16,2025-06-21,Edeka
Deutschland Lauchzwiebeln oder Radieschen (Kl. I Bund),Lebensmittel,Gemüse,0.49,2025-06-16,2025-06-21,Edeka
Deutschland EDEKA Herzstücke Mini-Romanasalat (Kl. I 2er Packung),Lebensmittel,Gemüse,0.77,2025-06-16,2025-06-21,Edeka
Deutschland EDEKA Heimatliebe Bio-Champignons (weiß oder braun Kl. II 200g Packung),Lebensmittel,Gemüse,1.79,2025-06-16,2025-06-21,Edeka
Spanien/Niederlande GUT&GÜNSTIG Paprika-Mix (Kl. I 500g Packung),Lebensmittel,Gemüse,1.49,2025-06-16,2025-06-21,Edeka
Niederlande/Deutschland EDEKA Herzstücke Mini-Rispentomaten (Kl. I 400g Schale),Lebensmittel,Gemüse,1.00,2025-06-16,2025-06-21,Edeka
Spanien EDEKA Bio Mini-Pflaumentomaten (Kl. II 250g Schale),Lebensmittel,Obst,1.29,2025-06-16,2025-06-21,Edeka
Belgien/Deutschland EDEKA Herzstücke Mini-Pak-Choi (Kl. I 300g Packung),Lebensmittel,Gemüse,1.49,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Bowls (versch. Sorten 200g Schale),Lebensmittel,Fertiggerichte,2.99,2025-06-16,2025-06-21,Edeka
Salatpflanzen (Fit in den Winter-Mix 6er Packung),Blumen & Pflanzen,Pflanzen,1.29,2025-06-16,2025-06-21,Edeka
Petunien (Triobells dreifarbig 13cm Topf),Blumen & Pflanzen,Pflanzen,2.99,2025-06-16,2025-06-21,Edeka
Sonnenblume (ca. 30cm hoch 12cm Topf),Blumen & Pflanzen,Pflanzen,2.49,2025-06-16,2025-06-21,Edeka
Mini-Gladiolen (versch. Farben 7er Bund),Blumen & Pflanzen,Schnittblumen,2.99,2025-06-19,2025-06-21,Edeka
Bauern Gut Grillnackenkotelett (vom Schwein mariniert 1kg),Lebensmittel,Fleisch,6.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Thüringer Mett/Hackepeter oder Schweinehackfleisch (1kg),Lebensmittel,Fleisch,5.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Entrecôte (vom deutschen Jungbullen 100g),Lebensmittel,Fleisch,2.49,2025-06-16,2025-06-21,Edeka
Thüringer Rostbratwurst (roh 100g),Lebensmittel,Wurst,0.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Hähnchenunterkeule (natur oder gewürzt 1kg),Lebensmittel,Fleisch/Geflügel,4.99,2025-06-16,2025-06-21,Edeka
Flammbrot (versch. Sorten 100g),Lebensmittel,Backwaren/Snacks,0.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Hähnchenbrust-Tasche (gefüllt 100g),Lebensmittel,Fleisch/Geflügel,1.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Hähnchenflügel gewürzt (SB-verpackt 550g Packung),Lebensmittel,Fleisch/Geflügel,2.79,2025-06-16,2025-06-21,Edeka
Bauern Gut Hähnchenspieß Curry (z.B. 251g Packung),Lebensmittel,Fleisch/Geflügel,4.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Grill-nackensteaks (SB-verpackt 600g Packung),Lebensmittel,Fleisch,3.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Cevapcici (vom Schwein und Rind SB-verpackt 360g Packung),Lebensmittel,Fleisch,3.49,2025-06-16,2025-06-21,Edeka
Bauern Gut Fleischwurst / Bremer Gekochte (100g),Lebensmittel,Wurst,0.99,2025-06-16,2025-06-21,Edeka
Mai-Gouda (holl. Schnittkäse 48% Fett i. Tr. 100g),Lebensmittel,Käse,0.99,2025-06-16,2025-06-21,Edeka
Gmyrek Heidemettwurst (100g),Lebensmittel,Wurst,1.99,2025-06-16,2025-06-21,Edeka
Brie de Meaux (franz. Weichkäse 45% Fett i. Tr. 100g),Lebensmittel,Käse,2.39,2025-06-16,2025-06-21,Edeka
Ideal Bio-Senfsaucen (versch. Sorten 60g Glas),Lebensmittel,Saucen/Dips,2.49,2025-06-16,2025-06-21,Edeka
Emmi Der freche oder scharfe Maxx (Schweizer Schnittkäse 100g),Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Edeka
Bauern Gut Lachsfleisch (100g),Lebensmittel,Wurst/Schinken,2.39,2025-06-16,2025-06-21,Edeka
Landana (holl. Schnittkäse versch. Sorten 100g),Lebensmittel,Käse,1.59,2025-06-16,2025-06-21,Edeka
